volatile acidity,residual sugar,total sulfur dioxide,density,alcohol,quality
0.36,4.8,85,0.9932,10.6,5
0.24,14,198,0.9979,8.9,6
0.24,13.1,205,0.997,9.5,5
0.23,13,177,0.9972,9.8,5
0.27,8.7,197,0.9974,9.6,6
0.46,2.4,98,0.9896,12.6,7
0.29,8.95,151,0.9968,9.3,5
0.42,9.85,110,0.9958,10,5
0.3,1.5,133,0.9906,12.7,6
0.19,1.5,96,0.9917,11,6
0.48,0.8,100,0.9902,11.4,4
0.22,4.55,130,0.9918,11.5,7
0.27,17.7,173,0.999,10.2,5
0.23,7.5,151,0.9927,11.4,6
0.32,5.1,65,0.991,12.6,4
0.23,12.9,170,0.9972,9.4,5
0.67,1.2,108,0.9931,8.7,4
0.25,5.5,176,0.995,9.2,6
0.33,5.5,173,0.9951,9.3,6
0.34,1.2,183,0.9936,9.2,5
0.28,22,167,1.001,8.7,5
0.27,14,227,0.9979,9.6,6
0.26,11.9,226,0.997,9.3,5
0.29,11.9,230,0.9972,9.3,5
0.24,9.4,166,0.9954,9.9,6
0.3,4.2,119,0.9924,11,5
0.53,3.8,109,0.9906,12.7,8
0.28,8.5,210,0.9962,8.9,4
0.28,8.5,211,0.9962,8.9,6
0.28,22,167,1.001,8.7,5
0.28,8,123,0.9928,11.4,6
0.15,5.1,125,0.9942,9.6,5
0.29,3.6,181,0.9942,9.1,5
0.3,3.5,180,0.9942,9.1,6
0.29,3.6,183,0.9942,9.1,5
0.26,7.8,214,0.9961,8.9,5
0.32,13.1,204,0.998,8.8,5
0.26,7.8,214,0.9961,8.9,5
0.27,16.1,196,0.9984,9.3,5
0.32,13.1,204,0.998,8.8,5
0.54,13.2,236,0.9973,9.6,5
0.26,13.9,134,0.9949,12,6
0.28,2.3,114,0.9924,10.2,4
0.21,11.6,153,0.9972,8.8,5
0.16,8.3,126,0.9958,9.2,5
0.44,6.2,124,0.9968,9.9,4
0.57,2.2,77,0.9938,10.2,5
0.4,0.9,170,0.993,9.5,6
0.245,9.7,68,0.994,10.5,5
0.18,1.4,111,0.9918,11.2,7
0.16,8.3,126,0.9958,9.2,5
0.13,5.3,122,0.9944,9.7,6
0.25,1.4,105,0.9912,11.1,7
0.26,9.2,152,0.9961,9.4,5
0.27,7,164,0.9939,11,5
0.26,9.2,152,0.9961,9.4,5
0.28,17.5,167,0.9989,9.4,5
0.23,7,161,0.9938,11,5
0.27,7,164,0.9939,11,5
0.685,9.5,172,0.9971,9.1,6
0.25,1.4,105,0.9912,11.1,7
0.19,0.8,144,0.9936,9.1,6
0.495,1.8,140,0.9929,10.4,6
0.24,17.8,145,0.9998,8.7,5
0.17,2.4,200,0.9938,9.7,6
0.25,10.3,272,0.9969,9.1,6
0.17,2.4,200,0.9938,9.7,6
0.24,17.8,145,0.9998,8.7,5
0.64,9.7,142,0.9972,8.9,4
0.28,7.8,194,0.9976,9.6,6
0.27,7.8,208,0.9976,9.5,6
0.23,14.3,194,0.9979,9,6
0.23,14.3,194,0.9979,9,6
0.23,14.3,194,0.9979,9,6
0.23,14.3,194,0.9979,9,6
0.52,13.2,221,0.9972,9.6,6
0.26,1.4,120,0.9918,11.1,7
0.25,15.55,159,0.9982,9.6,6
0.32,13.7,197,0.9985,8.7,5
0.31,7.8,90,0.9944,10.4,5
0.21,2.4,100,0.9903,11.4,7
0.24,2.7,218.5,0.9934,9.7,6
0.4,11.2,142,0.9975,8.7,5
0.18,2,249.5,0.9923,11.3,6
0.21,2.1,139,0.99,12.6,7
0.2,1.4,77,0.9905,10.9,7
0.19,1.4,76,0.9905,10.9,7
0.41,10.4,119,0.996,10,5
0.21,4.6,199,0.9964,10,4
0.26,16.2,197,0.998,9.8,3
0.4,11.2,142,0.9975,8.7,5
0.24,3.5,109,0.9913,11.7,3
0.24,1.5,158,0.9932,9.3,6
0.26,1.1,147,0.9935,9.6,8
0.35,5.7,97,0.9927,11,7
0.35,5.7,97,0.9927,11,7
0.23,1.8,118,0.9912,11.8,6
0.36,0.9,75,0.9904,11.4,4
0.115,5.4,108,0.9939,10.2,6
0.29,19.45,156,0.9996,8.9,5
0.28,8.2,95,0.9944,10.2,5
0.29,13.6,231,0.9977,9.6,6
0.24,1.2,167,0.9912,10.6,6
0.29,19.45,156,0.9996,8.9,5
0.32,8.3,180,0.9965,9.2,6
0.58,6.9,149,0.9944,9.7,5
0.585,7.1,145,0.9945,9.7,6
0.59,7,147,0.9944,9.7,6
0.32,8.3,180,0.9965,9.2,6
0.6,7,147,0.9944,9.7,5
0.25,13.1,148,0.9972,9.3,5
0.58,5.1,123,0.9949,9,5
0.29,10.7,234,0.9966,9.5,5
0.19,8.9,169,0.9954,9.8,6
0.2,9.1,166,0.9954,9.8,6
0.26,1.1,60,0.9915,10.6,5
0.32,1.2,67,0.9919,10.6,4
0.3,4.7,105,0.9916,12.4,7
0.24,2.8,112,0.99,12.6,8
0.31,5,114,0.9909,12.3,8
0.44,5.1,201,0.9938,10.5,4
0.34,15.6,196,0.9982,9.3,5
0.35,15.4,198,0.9988,8.8,5
0.32,7.2,180,0.9961,8.8,5
0.28,15.7,190,0.9978,9.7,6
0.23,14.2,192,0.9979,9,7
0.23,14.2,192,0.9979,9,7
0.23,14.2,192,0.9979,9,7
0.23,14.2,192,0.9979,9,7
0.15,5.8,155,0.9945,10.5,6
0.28,19.8,195,1,9.1,5
0.28,7.3,157,0.9957,9.8,7
0.59,1.6,182,0.9968,8.5,3
0.33,1.2,175,0.9934,9.4,6
0.39,10.6,169,0.9976,9.4,5
0.19,3.8,187,0.9932,11.2,7
0.17,11.3,146,0.997,10,6
0.17,2.1,122,0.9923,10.3,6
0.41,1.6,87,0.9914,10.8,6
0.2,0.9,74,0.992,10.5,6
0.41,1.6,87,0.9914,10.8,6
0.29,1.3,168,0.9914,11.1,6
0.41,6.8,163,0.9949,9.9,6
0.41,6.8,163,0.9949,9.9,6
0.43,6.7,163,0.995,9.9,5
0.4,6.7,166,0.995,9.9,6
0.33,4.9,134,0.9927,10.4,7
0.31,4.8,148,0.9928,10.4,6
0.36,2.1,100,0.9917,11.5,7
0.55,8.3,164,0.9918,12.5,8
0.25,3.7,149,0.9954,10,6
0.36,6.7,166,0.9941,10,6
0.34,6.6,167,0.9941,10,5
0.28,1.1,127,0.9934,9.1,6
0.25,4.7,134,0.9927,10.6,6
0.24,7.7,135,0.9938,10.5,5
0.3,7.85,133,0.9933,11.5,7
0.125,3.3,69,0.9934,10.1,6
0.1,1.1,65,0.9927,10.3,7
0.24,7.7,135,0.9938,10.5,5
0.25,4.7,134,0.9927,10.6,6
0.28,9.3,137,0.9946,10.4,6
0.41,2,207,0.993,11.4,5
0.27,5.8,313,0.9946,10.5,5
0.26,15.15,216,0.9976,10,6
0.34,6.3,143,0.9944,10,6
0.28,15.4,195,0.9978,9.6,6
0.21,1.3,85,0.992,10.4,5
0.32,4.8,101,0.9912,12.5,8
0.24,4.6,135,0.9927,10.6,5
0.23,1.8,91,0.9906,11.8,6
0.28,9.9,133,0.9954,9.8,5
0.26,5.7,80,0.9923,10.8,5
0.23,1.8,91,0.9906,11.8,6
0.23,1.5,105,0.991,11.2,6
0.27,12.3,170,0.9972,9.3,6
0.26,1.3,139,0.9945,10.4,5
0.18,1.5,141,0.9934,10.2,7
0.2,7.8,153,0.9964,9,7
0.24,1.5,129,0.9948,10,6
0.26,9.7,140,0.9962,9.1,6
0.31,3,144,0.9931,10,5
0.29,3,145,0.993,10,6
0.145,4.6,131,0.9942,9.6,6
0.34,1.3,68,0.9906,11.2,7
0.19,15.6,155,0.9995,8.8,6
0.18,13.6,118,0.998,10,6
0.17,11.2,137,0.997,10,5
0.12,2.1,146,0.9914,11.4,7
0.33,6.85,138,0.992,11.9,7
0.335,2.5,128,0.9924,9.6,6
0.33,6.85,138,0.992,11.9,7
0.4,4.4,245,0.9937,9.6,6
0.22,14.3,191,0.9978,9,6
0.22,14.3,191,0.9978,9,6
0.36,1.1,169,0.9927,9.5,6
0.2,1.4,152,0.994,10.4,6
0.24,4.7,161,0.9935,10.6,6
0.24,14.9,162,0.9968,10.2,6
0.365,1.2,84,0.9941,8.9,5
0.15,5.3,127,0.9942,9.7,6
0.22,14.3,191,0.9978,9,6
0.16,2.3,102,0.9923,11.4,7
0.26,3.5,113,0.9912,12.3,7
0.18,1.5,143,0.9923,10.8,6
0.33,1,148,0.9927,9.4,6
0.29,2.3,178,0.9931,10.6,6
0.39,12.5,72,0.9941,11.6,5
0.33,1,148,0.9927,9.4,6
0.29,2.3,178,0.9931,10.6,6
0.905,0.8,204,0.9934,10,5
0.27,2.4,149,0.9936,9.2,6
0.33,1.6,89,0.9893,12.5,7
0.33,1.6,89,0.9893,12.5,7
0.31,1.5,119,0.9919,10.4,7
0.2,1.4,98,0.9924,10,7
0.32,2.6,155,0.9927,10,6
0.31,1.5,119,0.9919,10.4,7
0.2,1.4,98,0.9924,10,7
0.28,12.5,179,0.9975,9,6
0.35,9.6,157,0.9969,9.2,6
0.27,2.4,149,0.9936,9.2,6
0.36,3.2,125,0.991,11.3,7
0.33,1.6,89,0.9893,12.5,7
0.17,1.5,115,0.9906,10.8,7
0.39,5.9,260,0.9941,10.1,5
0.21,5.4,140,0.995,9.7,6
0.3,14.9,181,0.9983,9.3,7
0.3,14.9,181,0.9983,9.3,7
0.36,1.1,66,0.9916,10.6,5
0.55,9.8,125,0.9957,10.2,6
0.24,2,69,0.99,12.2,6
0.37,11.8,163,0.9976,8.8,5
0.27,1.3,168,0.992,10,5
0.28,1.8,93,0.9917,11.4,5
0.2,1.5,107,0.9917,11.4,6
0.26,18.2,168,0.9993,9.4,5
0.19,2.9,83,0.9908,11.7,6
0.2,1.5,107,0.9917,11.4,6
0.37,11.8,163,0.9976,8.8,5
0.35,1.4,108,0.9934,9.2,5
0.27,18.2,252,1,8.7,5
0.22,6.3,170,0.9918,12.6,6
0.27,1.3,168,0.992,10,5
0.28,4,99,0.9896,12.8,7
0.49,1.2,125,0.9932,9.4,5
0.14,1.2,116,0.992,10.3,6
0.28,1.8,93,0.9917,11.4,5
0.25,18.95,155,0.9999,9,6
0.28,12.7,140,0.998,9.6,6
0.19,1.2,85,0.9918,10.5,5
0.19,1.2,85,0.9918,10.5,5
0.25,18.95,155,0.9999,9,6
0.28,12.7,140,0.998,9.6,6
0.21,1.2,99,0.9927,9.8,6
0.26,7.7,210,0.9959,9,5
0.21,1.2,99,0.9927,9.8,6
0.31,1.6,137,0.9929,10.5,6
0.22,2.7,136,0.9898,12.7,7
0.21,8.7,222,0.9954,10.4,6
0.21,8.6,221,0.9954,10.4,6
0.21,8.6,221,0.9954,10.4,6
0.23,8.3,162,0.9954,10.5,7
0.21,8.7,222,0.9954,10.4,6
0.21,8.6,221,0.9954,10.4,6
0.29,13.3,194,0.9974,9.4,5
0.21,1.2,89,0.9936,9.1,5
0.31,13.6,197,0.9978,9.3,5
0.29,13.3,194,0.9974,9.4,5
0.34,1.1,84,0.9927,9.8,5
0.155,2.3,214,0.9934,9.9,7
0.55,1.5,151,0.9938,9.2,4
0.23,7.1,104,0.9922,12.1,8
0.2,6.2,97,0.992,12.2,7
0.28,2.5,218.5,0.9935,9.8,5
0.16,1.4,186,0.9906,12.4,8
0.155,2.3,214,0.9934,9.9,7
0.35,1.2,108,0.9934,9.2,5
0.22,1.6,102,0.9913,11.6,7
0.38,6.6,137,0.9938,10.4,6
0.25,2.2,126,0.9898,12.9,8
0.52,12.2,245,0.9975,9.3,6
0.24,20.8,139,0.9975,11,6
0.32,11,66,0.9937,11.5,3
0.28,2.6,156,0.9914,12.4,5
0.41,14,113,0.9982,9.8,6
0.41,14,113,0.9982,9.8,6
0.28,1.6,127,0.9929,10.5,7
0.6,9.9,174,0.9971,9.1,5
0.2,1.2,128,0.9921,10.1,5
0.46,2.7,160,0.9931,10.6,7
0.27,1.6,113,0.9924,10.5,7
0.28,1.6,127,0.9929,10.5,7
0.41,14,113,0.9982,9.8,6
0.23,1.5,82,0.9892,12.9,7
0.21,8.6,111,0.9956,9.5,5
0.37,1,218.5,0.9924,9.8,6
0.43,9.1,249,0.9971,8.5,5
0.21,8.6,111,0.9956,9.5,5
0.25,15.2,171,0.9982,9.3,5
0.25,12.4,162,0.9973,9.5,5
0.32,2.2,68,0.9932,9.4,6
0.39,11,178,0.9976,8.7,5
0.21,10,126,0.9962,8.9,5
0.14,9,141,0.9956,9.4,6
0.32,2.2,68,0.9932,9.4,6
0.39,11,178,0.9976,8.7,5
0.29,18.15,182,0.9992,9.6,5
0.37,12.15,158,0.9983,9.3,6
0.38,3.4,200,0.9937,10,5
0.24,2,86,0.99,12.5,6
0.17,4.8,132,0.9944,9.6,7
0.16,4.5,102,0.9938,9.4,6
0.24,11,227,0.9965,9.5,5
0.28,1.1,105,0.9893,12.4,7
0.22,1.5,115,0.9927,10.5,6
0.55,1.7,165,0.994,9.2,6
0.22,1.7,164,0.9928,10.4,6
0.47,8.9,172,0.9964,9.2,5
0.36,1.3,104,0.9917,10.6,6
0.25,13.3,137,0.9972,9.5,5
0.47,8.9,172,0.9964,9.2,5
0.37,6.6,200,0.9954,9.6,5
0.18,1.5,117,0.993,9.7,6
0.16,1.5,117,0.9928,9.7,6
0.34,1.3,90,0.9916,10.7,6
0.29,1.6,180,0.9936,10.5,6
0.26,7.6,177,0.9962,8.9,6
0.28,1,70,0.9899,12.1,6
0.23,1.6,65,0.9898,12.7,7
0.19,8.9,182,0.996,9.9,6
0.19,1.8,158,0.9907,11.4,6
0.2,4.7,103,0.994,10.7,6
0.44,7,173,0.9913,12.5,6
0.4,10.8,189,0.9976,8.6,4
0.23,1.6,147,0.9904,12.5,6
0.335,1,174,0.992,10,5
0.4,10.8,189,0.9976,8.6,4
0.28,16.7,200,0.999,9.5,6
0.19,14.2,164,0.9975,9.6,6
0.3,2.25,210,0.9937,9.9,6
0.3,2.25,210,0.9937,9.9,5
0.18,12.2,140,0.998,8.9,6
0.18,12.2,140,0.998,8.9,6
0.51,3.3,135,0.9944,8.8,5
0.24,1.9,170,0.9938,10,7
0.62,3.5,152,0.9907,12,6
0.24,1.9,170,0.9938,10,7
0.27,1.3,138,0.9921,10,6
0.34,1.8,167,0.9908,12.1,6
0.26,5.2,141,0.9931,11,6
0.36,1.4,55,0.9915,11.2,6
0.28,9,115,0.9952,10.3,7
0.31,2.2,167,0.9926,10.4,6
0.18,1.6,154,0.9934,9.1,5
0.15,1.7,154,0.992,10.4,6
0.13,1.9,78,0.9918,10.8,6
0.34,12.6,41,0.9942,11.7,5
0.19,2.1,143,0.9942,9.8,5
0.19,2.1,143,0.9942,9.8,5
0.25,1.3,101,0.9901,11.4,6
0.36,1.7,96,0.9898,11.2,6
0.35,1,72,0.9902,11.4,5
0.32,3.3,140,0.9934,9.2,6
0.31,5,29,0.9906,12.5,4
0.28,1.8,116,0.9898,12.6,6
0.36,1.6,104,0.9896,12.2,6
0.19,4.5,112,0.9922,11.2,6
0.1,4.9,103,0.9947,9.7,6
0.18,4,150,0.9945,9.3,5
0.25,13.2,178,0.9976,9,6
0.25,13.2,178,0.9976,9,6
0.25,13.2,178,0.9976,9,6
0.345,15.3,171,0.9987,9.1,5
0.345,15.3,171,0.9987,9.1,5
0.25,13.2,178,0.9976,9,6
0.24,1.5,61,0.992,10.4,5
0.25,4.55,211,0.9955,9.5,6
0.31,9.9,175,0.9953,11.4,4
0.46,10.4,192,0.9976,8.7,5
0.35,1.1,167,0.992,9.9,6
0.24,8.7,148,0.9952,9.9,6
0.28,13.9,162,0.9983,9,6
0.16,1.4,149,0.9933,10,6
0.26,7.2,172,0.9958,9.7,6
0.22,1.9,87,0.9922,11.8,6
0.18,1.7,127,0.9928,10.2,7
0.46,10.4,192,0.9976,8.7,5
0.3,13.6,168,0.9976,9.6,7
0.25,1.2,93,0.9916,11.3,7
0.28,1.6,118,0.9901,12.1,7
0.3,13.6,168,0.9976,9.6,7
0.28,1.6,118,0.9901,12.1,7
0.25,1.2,93,0.9916,11.3,7
0.35,12.2,160,0.9982,9.4,5
0.41,1.6,137,0.993,10.4,6
0.21,12.1,165,0.9969,9.5,5
0.34,4.2,144,0.991,12.3,6
0.21,9.1,150,0.9953,9.9,7
0.37,1.6,128,0.9924,10.1,5
0.34,8.8,184,0.9969,9.2,6
0.3,1.4,135,0.9928,10.4,7
0.51,4.2,165,0.9945,9.1,5
0.22,10.3,99,0.9967,10,6
0.35,12.4,37,0.9944,11.5,6
0.26,2.2,153,0.9928,9.8,5
0.26,2.2,154,0.9929,9.8,6
0.28,5.2,179,0.9948,9.4,6
0.41,10.8,194,0.9976,8.7,5
0.28,2.7,107,0.9912,11.6,7
0.34,16.3,181,0.9987,8.8,5
0.2,2.7,151,0.99,12.7,7
0.2,1.9,138,0.991,11.7,7
0.22,1.8,185,0.9933,10.2,6
0.23,1.8,187,0.9933,10.2,6
0.22,2.8,153,0.9899,12.7,7
0.28,2.7,107,0.9912,11.6,7
0.38,6,134,0.9912,12.3,7
0.41,10.8,194,0.9976,8.7,5
0.18,4.2,111,0.994,9.4,5
0.3,6.4,168,0.9947,10.1,6
0.24,10.7,81,0.9954,9.7,6
0.25,1.6,134,0.993,10.1,7
0.24,10.7,81,0.9954,9.7,6
0.26,7.9,157,0.9963,8.9,6
0.32,1.7,136,0.992,10.8,7
0.28,2.1,121,0.9926,10.8,7
0.23,5.8,136,0.995,9.5,6
0.31,14.5,148,0.9983,9.1,5
0.2,1.2,119,0.992,10.9,6
0.41,10.1,152,0.9968,9.4,5
0.45,1.1,131,0.9905,10.8,5
0.475,1,131,0.9904,10.8,5
0.27,0.9,140,0.9926,10.5,7
0.41,10.1,152,0.9968,9.4,5
0.29,4.9,127,0.9928,10.8,6
0.27,11.4,115,0.9949,10.5,8
0.19,1.4,55,0.9909,11.5,7
0.3,1.4,160,0.9937,9.4,6
0.24,1.4,106,0.9914,10.8,6
0.45,1.1,131,0.9905,10.8,5
0.475,1,131,0.9904,10.8,5
0.26,1.5,134,0.9924,9.8,6
0.26,1.5,134,0.9924,9.8,6
0.25,7.5,158,0.9965,9.6,5
0.25,7.5,158,0.9965,9.6,5
0.28,17.75,161,0.9993,9.5,5
0.37,5.7,94,0.9965,10.7,6
0.36,3.2,119,0.9908,12.4,8
0.24,4.3,95,0.992,11.1,6
0.23,11,133,0.9978,8.8,5
0.21,10.9,133,0.9978,8.7,5
0.21,10.9,133,0.9978,8.7,5
0.23,11,133,0.9978,8.8,5
0.32,2.4,101,0.9912,11.7,7
0.26,1.9,195,0.9928,10.9,6
0.24,1.8,190,0.9928,10.8,6
0.19,1.4,135,0.993,9.6,6
0.46,16.8,222,0.9993,9,5
0.26,8.9,171,0.9965,9,5
0.32,6.6,141,0.9937,10.4,6
0.24,1.1,64,0.9913,11.4,5
0.36,1.4,128,0.9934,9.3,5
0.24,13.3,130,0.9952,11,8
0.56,10.4,177,0.9983,9.1,4
0.32,6.2,228,0.9957,9.4,6
0.32,6.2,228,0.9957,9.4,6
0.31,1.2,99,0.9916,10.5,6
0.23,18.05,144,0.9999,8.8,5
0.23,18.05,144,0.9999,8.8,5
0.24,4.8,131,0.9936,10.7,6
0.29,12.6,187,0.9972,9.5,5
0.17,4.5,150,0.9933,10.9,6
0.14,4.5,140,0.9934,10.8,6
0.17,4.7,133,0.9931,10.8,7
0.28,11.9,148,0.9976,9.2,5
0.35,5,198,0.9937,10.3,5
0.335,5.8,197,0.9937,10.3,5
0.235,1.2,127,0.991,11,7
0.28,12.9,189,0.9979,9,4
0.21,13.9,179,0.9971,10.4,6
0.24,11.5,163,0.9969,9.5,5
0.24,11.4,166,0.9968,9.5,5
0.26,7.8,166,0.9961,9,5
0.33,1.1,151,0.993,9.5,4
0.105,12.2,146,0.9973,9,6
0.32,5.9,190,0.9944,10,5
0.26,14.4,189,0.9986,9.1,7
0.26,14.4,189,0.9986,9.1,7
0.26,14.4,189,0.9986,9.1,7
0.26,14.4,189,0.9986,9.1,7
0.24,12.3,134,0.9972,9.5,6
0.21,2.5,138,0.9917,11.4,7
0.27,5.3,117,0.992,12.2,6
0.27,4.9,95,0.9932,11.3,6
0.34,3.2,136,0.9936,10.2,5
0.27,3.1,188,0.9915,11.3,5
0.29,1.4,234.5,0.9922,10,4
0.28,1.9,86,0.9934,9.4,5
0.25,14,133,0.9952,12.2,7
0.57,8.3,188,0.9972,9.2,4
0.28,1.9,86,0.9934,9.4,5
0.17,7.4,182,0.9958,9.6,6
0.28,1.4,130,0.9944,9.5,5
0.22,1.7,195,0.9908,12.5,6
0.17,7.4,182,0.9958,9.6,6
0.14,1.3,173,0.9925,10,6
0.24,11.6,211,0.9966,9.3,5
0.42,9.2,199,0.9972,9.3,6
0.28,1.7,101,0.9912,11.6,6
0.32,14.5,150,0.995,12.5,8
0.31,2.1,130,0.9928,10.6,6
0.32,10.7,206,0.9968,9.4,5
0.28,6.9,201,0.9955,9.1,6
0.29,12,224,0.9981,9,6
0.32,4.75,94,0.991,11.8,7
0.32,4.75,94,0.991,11.8,7
0.32,4.75,94,0.991,11.8,7
0.28,1.4,159,0.992,10,5
0.34,1.3,171,0.9931,9.7,5
